Vectorization_Method_and_lead,R_n,mean_AUC,std_AUC
Betti_Vectorization_all,R2,0.4956160516233112,0.02282264203654895
Betti_Vectorization_all,R2,0.6420845936680782,0.0627047206023818
Betti_Vectorization_all,R2,0.622498991732204,0.049972256104086114
Betti_Vectorization_all,R2,0.7682924984875983,0.04116855822504927
Betti_Vectorization_V1,R2,0.49620185521274446,0.055350529210290406
Betti_Vectorization_V1,R2,0.6213951905626134,0.09605622032848668
Betti_Vectorization_V1,R2,0.5627510586811858,0.06541016196049779
Betti_Vectorization_V1,R2,0.7900050413389795,0.04175358167052507
Betti_Vectorization_V2,R2,0.5340890300463803,0.043593354429763566
Betti_Vectorization_V2,R2,0.5018758822343214,0.027137711586237852
Betti_Vectorization_V2,R2,0.6113843516838072,0.05752803792331985
Betti_Vectorization_V2,R2,0.6385833837467232,0.07068966046470494
Betti_Vectorization_V3,R2,0.5646448376688848,0.07873436099476118
Betti_Vectorization_V3,R2,0.5643985682597297,0.033375807246029385
Betti_Vectorization_V3,R2,0.5209916313772938,0.03908452151777262
Betti_Vectorization_V3,R2,0.5956079854809438,0.03928246611792643
Betti_Vectorization_V1_V2,R2,0.4898744706594071,0.06841495390713316
Betti_Vectorization_V1_V2,R2,0.6276628352490421,0.10367170446293737
Betti_Vectorization_V1_V2,R2,0.6569822544867916,0.03311082636962806
Betti_Vectorization_V1_V2,R2,0.7861620286348054,0.032171312041510074
Betti_Vectorization_V1_V3,R2,0.5058149324460576,0.08809354945561068
Betti_Vectorization_V1_V3,R2,0.6765794515023189,0.072786897503412
Betti_Vectorization_V1_V3,R2,0.6075615043355516,0.053049496470128625
Betti_Vectorization_V1_V3,R2,0.7391732204073402,0.024553357902730777
Betti_Vectorization_V2_V3,R2,0.5405447166767494,0.02477192226956937
Betti_Vectorization_V2_V3,R2,0.5797131478120588,0.054736616234461175
Betti_Vectorization_V2_V3,R2,0.548599516031458,0.024472487764142882
Betti_Vectorization_V2_V3,R2,0.6741308731599113,0.05277660751347454
Pers_Vec_Vectorization_all,R2,0.5614589635007057,0.04023681876486083
Pers_Vec_Vectorization_V1,R2,0.5779844726759428,0.07094885515713513
Pers_Vec_Vectorization_V2,R2,0.5011584996975196,0.13339297707294068
Pers_Vec_Vectorization_V3,R2,0.5576083887880621,0.052213623653490075
Pers_Vec_Vectorization_V1_V2,R2,0.5513994757007461,0.07912658629334564
Pers_Vec_Vectorization_V1_V3,R2,0.6338288969550312,0.06029968670906325
Pers_Vec_Vectorization_V2_V3,R2,0.5429285138132688,0.06551439192121163
Pers_Vec_Vectorization_nooverlap_all,R2,0.6125247025610001,0.03377980406656579
Pers_Vec_Vectorization_nooverlap_V1,R2,0.5816286045573704,0.08787490993821113
Pers_Vec_Vectorization_nooverlap_V2,R2,0.6028337366404518,0.0947205155862489
Pers_Vec_Vectorization_nooverlap_V3,R2,0.474862371445856,0.0565335903238352
Pers_Vec_Vectorization_nooverlap_V1_V2,R2,0.6145422464206494,0.07876734430917398
Pers_Vec_Vectorization_nooverlap_V1_V3,R2,0.6261912684008873,0.0668036685305836
Pers_Vec_Vectorization_nooverlap_V2_V3,R2,0.5266782617463198,0.08118187359412656
Pers_Vec_Vectorization_nocount_all,R2,0.6008832425892316,0.047021753868137
Pers_Vec_Vectorization_nocount_V1,R2,0.5771405525307522,0.040641885566600325
Pers_Vec_Vectorization_nocount_V2,R2,0.49609598709417224,0.08022530780773485
Pers_Vec_Vectorization_nocount_V3,R2,0.5163656987295826,0.10966554280172054
Pers_Vec_Vectorization_nocount_V1_V2,R2,0.5608333333333334,0.06018115607433013
Pers_Vec_Vectorization_nocount_V1_V3,R2,0.6063777979431337,0.04831174164786273
Pers_Vec_Vectorization_nocount_V2_V3,R2,0.5450120992135512,0.060421804219630844
Pers_Vec_Vectorization_nocount_nooverlap_all,R2,0.6747565033272837,0.050589022845816234
Pers_Vec_Vectorization_nocount_nooverlap_V1,R2,0.5778211332930026,0.04727105314164491
Pers_Vec_Vectorization_nocount_nooverlap_V2,R2,0.6033071183706392,0.08112973373973183
Pers_Vec_Vectorization_nocount_nooverlap_V3,R2,0.44217886670699735,0.0959429042685005
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R2,0.6135924581568866,0.08310149354283036
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R2,0.6259165154264973,0.04439937599487974
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R2,0.5650337769711635,0.08013722959184487
Pers_Vec_Vectorization_noarea_all,R2,0.4956160516233112,0.02282264203654895
Pers_Vec_Vectorization_noarea_V1,R2,0.49620185521274446,0.055350529210290406
Pers_Vec_Vectorization_noarea_V2,R2,0.5340890300463803,0.043593354429763566
Pers_Vec_Vectorization_noarea_V3,R2,0.5646448376688848,0.07873436099476118
Pers_Vec_Vectorization_noarea_V1_V2,R2,0.4898744706594071,0.06841495390713316
Pers_Vec_Vectorization_noarea_V1_V3,R2,0.5058149324460576,0.08809354945561068
Pers_Vec_Vectorization_noarea_V2_V3,R2,0.5405447166767494,0.02477192226956937
Betti_Vectorization_all,R3,0.5069031054648114,0.03429344802586364
Betti_Vectorization_all,R3,0.6482914902198024,0.04489311745419644
Betti_Vectorization_all,R3,0.6446723129663239,0.06261773503899784
Betti_Vectorization_all,R3,0.7092795926598106,0.020209600307685104
Betti_Vectorization_V1,R3,0.47356548699334544,0.09974335517907802
Betti_Vectorization_V1,R3,0.5933086307723332,0.027583112619640204
Betti_Vectorization_V1,R3,0.6018990723936277,0.039788239042886975
Betti_Vectorization_V1,R3,0.696897055858036,0.014842504883997019
Betti_Vectorization_V2,R3,0.5117332123411977,0.05811412998639279
Betti_Vectorization_V2,R3,0.571979733817302,0.06061795168667911
Betti_Vectorization_V2,R3,0.5424062310949788,0.029741032413440473
Betti_Vectorization_V2,R3,0.6499274047186934,0.08892781908057969
Betti_Vectorization_V3,R3,0.4945273744706594,0.08773808660911951
Betti_Vectorization_V3,R3,0.5642468239564428,0.03678058322438869
Betti_Vectorization_V3,R3,0.4920770316596088,0.076341733313118
Betti_Vectorization_V3,R3,0.5884119782214157,0.041062669693654186
Betti_Vectorization_V1_V2,R3,0.5232846844121799,0.03738735103101304
Betti_Vectorization_V1_V2,R3,0.6323659003831418,0.019248374668894692
Betti_Vectorization_V1_V2,R3,0.6418864690461786,0.04420356175665934
Betti_Vectorization_V1_V2,R3,0.7108439201451906,0.03022599889745675
Betti_Vectorization_V1_V3,R3,0.47942251461988306,0.06489544751994292
Betti_Vectorization_V1_V3,R3,0.6475841903609598,0.04810672328589932
Betti_Vectorization_V1_V3,R3,0.665603448275862,0.0440569823887677
Betti_Vectorization_V1_V3,R3,0.6951824964710627,0.016750554600695598
Betti_Vectorization_V2_V3,R3,0.5077679471667674,0.05084577519302961
Betti_Vectorization_V2_V3,R3,0.6185798548094374,0.023188598301793473
Betti_Vectorization_V2_V3,R3,0.5984034079451502,0.08571473831255105
Betti_Vectorization_V2_V3,R3,0.6446521476104053,0.032691044590493525
Pers_Vec_Vectorization_all,R3,0.6659991933857633,0.08287738734464539
Pers_Vec_Vectorization_V1,R3,0.5605696713046986,0.09506693998430313
Pers_Vec_Vectorization_V2,R3,0.6010632183908046,0.0582883364472741
Pers_Vec_Vectorization_V3,R3,0.583214861867312,0.037420202351992
Pers_Vec_Vectorization_V1_V2,R3,0.6808061101028434,0.0651738084955955
Pers_Vec_Vectorization_V1_V3,R3,0.6518047993547087,0.05686492356227412
Pers_Vec_Vectorization_V2_V3,R3,0.6341591046581972,0.058362346898893955
Pers_Vec_Vectorization_nooverlap_all,R3,0.692499495866102,0.05164116822724621
Pers_Vec_Vectorization_nooverlap_V1,R3,0.5956079854809437,0.03241821001155538
Pers_Vec_Vectorization_nooverlap_V2,R3,0.5729189352692076,0.05142945035827747
Pers_Vec_Vectorization_nooverlap_V3,R3,0.5380016132284735,0.07654642461242175
Pers_Vec_Vectorization_nooverlap_V1_V2,R3,0.6771581972171808,0.04159589137486596
Pers_Vec_Vectorization_nooverlap_V1_V3,R3,0.6722786852187941,0.07084980347202673
Pers_Vec_Vectorization_nooverlap_V2_V3,R3,0.6297343214357733,0.0793714533913288
Pers_Vec_Vectorization_nocount_all,R3,0.5989115749142973,0.07342887172874586
Pers_Vec_Vectorization_nocount_V1,R3,0.5245024198427103,0.088310788134516
Pers_Vec_Vectorization_nocount_V2,R3,0.5340270215769307,0.06940691745434913
Pers_Vec_Vectorization_nocount_V3,R3,0.4975365497076023,0.056534100733365546
Pers_Vec_Vectorization_nocount_V1_V2,R3,0.5588596491228071,0.10426218406634094
Pers_Vec_Vectorization_nocount_V1_V3,R3,0.5761746319822545,0.06284231946202806
