Vectorization_Method,Dimension,Leads,N,TIME
Betti_Vectorization,R2,_all,0,4.1521382331848145
Betti_Vectorization,R2,_all,4,6.869371652603149
Betti_Vectorization,R2,_all,9,10.376884937286377
Betti_Vectorization,R2,_all,99,73.06656861305237
Betti_Vectorization,R2,_V1,0,2.013032913208008
Betti_Vectorization,R2,_V1,4,2.984510898590088
Betti_Vectorization,R2,_V1,9,4.168979644775391
Betti_Vectorization,R2,_V1,99,25.284098625183105
Betti_Vectorization,R2,_V2,0,2.0033679008483887
Betti_Vectorization,R2,_V2,4,2.9638161659240723
Betti_Vectorization,R2,_V2,9,4.133009910583496
Betti_Vectorization,R2,_V2,99,24.99928379058838
Betti_Vectorization,R2,_V3,0,1.9952027797698975
Betti_Vectorization,R2,_V3,4,2.947283983230591
Betti_Vectorization,R2,_V3,9,4.108471870422363
Betti_Vectorization,R2,_V3,99,24.797791719436646
Betti_Vectorization,R2,_V1_V2,0,3.002248525619507
Betti_Vectorization,R2,_V1_V2,4,4.918535470962524
Betti_Vectorization,R2,_V1_V2,9,7.273512601852417
Betti_Vectorization,R2,_V1_V2,99,49.25238609313965
Betti_Vectorization,R2,_V1_V3,0,2.9947805404663086
Betti_Vectorization,R2,_V1_V3,4,4.902259588241577
Betti_Vectorization,R2,_V1_V3,9,7.2501256465911865
Betti_Vectorization,R2,_V1_V3,99,49.06013607978821
Betti_Vectorization,R2,_V2_V3,0,2.9844937324523926
Betti_Vectorization,R2,_V2_V3,4,4.875501871109009
Betti_Vectorization,R2,_V2_V3,9,7.2165374755859375
Betti_Vectorization,R2,_V2_V3,99,48.763948917388916
Betti_Vectorization,R3,_all,0,4.126905202865601
Betti_Vectorization,R3,_all,4,7.138882637023926
Betti_Vectorization,R3,_all,9,10.837665319442749
Betti_Vectorization,R3,_all,99,76.9080023765564
Betti_Vectorization,R3,_V1,0,2.0770797729492188
Betti_Vectorization,R3,_V1,4,3.1101603507995605
Betti_Vectorization,R3,_V1,9,4.380904674530029
Betti_Vectorization,R3,_V1,99,26.921948671340942
Betti_Vectorization,R3,_V2,0,2.0501410961151123
Betti_Vectorization,R3,_V2,4,3.0541746616363525
Betti_Vectorization,R3,_V2,9,4.289619207382202
Betti_Vectorization,R3,_V2,99,26.20796251296997
Betti_Vectorization,R3,_V3,0,2.0329346656799316
Betti_Vectorization,R3,_V3,4,3.026542901992798
Betti_Vectorization,R3,_V3,9,4.233849287033081
Betti_Vectorization,R3,_V3,99,25.77427911758423
Betti_Vectorization,R3,_V1_V2,0,3.110983371734619
Betti_Vectorization,R3,_V1_V2,4,5.138623476028442
Betti_Vectorization,R3,_V1_V2,9,7.630411386489868
Betti_Vectorization,R3,_V1_V2,99,52.11413264274597
Betti_Vectorization,R3,_V1_V3,0,3.0936086177825928
Betti_Vectorization,R3,_V1_V3,4,5.118105411529541
Betti_Vectorization,R3,_V1_V3,9,7.578451156616211
Betti_Vectorization,R3,_V1_V3,99,51.67634463310242
Betti_Vectorization,R3,_V2_V3,0,3.070484161376953
Betti_Vectorization,R3,_V2_V3,4,5.05717658996582
Betti_Vectorization,R3,_V2_V3,9,7.488962411880493
Betti_Vectorization,R3,_V2_V3,99,50.941216707229614
Betti_Vectorization,R4,_all,0,4.201828718185425
Betti_Vectorization,R4,_all,4,7.2846150398254395
Betti_Vectorization,R4,_all,9,11.078089952468872
Betti_Vectorization,R4,_all,99,78.76608920097351
Betti_Vectorization,R4,_V1,0,2.1071970462799072
Betti_Vectorization,R4,_V1,4,3.1789488792419434
Betti_Vectorization,R4,_V1,9,4.481547117233276
Betti_Vectorization,R4,_V1,99,27.72915267944336
Betti_Vectorization,R4,_V2,0,2.0722408294677734
Betti_Vectorization,R4,_V2,4,3.1071925163269043
Betti_Vectorization,R4,_V2,9,4.367449045181274
Betti_Vectorization,R4,_V2,99,26.813424825668335
Betti_Vectorization,R4,_V3,0,2.0499563217163086
Betti_Vectorization,R4,_V3,4,3.058361053466797
Betti_Vectorization,R4,_V3,9,4.290200710296631
Betti_Vectorization,R4,_V3,99,26.20997142791748
Betti_Vectorization,R4,_V1_V2,0,3.1652417182922363
Betti_Vectorization,R4,_V1_V2,4,5.301672697067261
Betti_Vectorization,R4,_V1_V2,9,7.814696788787842
Betti_Vectorization,R4,_V1_V2,99,53.52907657623291
Betti_Vectorization,R4,_V1_V3,0,3.1456167697906494
Betti_Vectorization,R4,_V1_V3,4,5.210000276565552
Betti_Vectorization,R4,_V1_V3,9,7.7445127964019775
Betti_Vectorization,R4,_V1_V3,99,52.93897795677185
Betti_Vectorization,R4,_V2_V3,0,3.1107912063598633
Betti_Vectorization,R4,_V2_V3,4,5.138753652572632
Betti_Vectorization,R4,_V2_V3,9,7.633209705352783
Betti_Vectorization,R4,_V2_V3,99,52.03671741485596
